ID,Family,Genus,Species,colonizer/sedentary,P-N colonizer,N-P colonizer,P & N sedentary,Old colonizer - SPS,Old colonizer - GENUS,Confamilial sedentary,Within Nearctic,Within Palaearctic,Cosmopolite
511,CRICETIDAE,Peromyscus,Peromyscus californicus,sedentary,0,0,1,0,0,1,1,0,0
512,CRICETIDAE,Peromyscus,Peromyscus crinitus,sedentary,0,0,1,0,0,1,1,0,0
513,CRICETIDAE,Peromyscus,Peromyscus difficilis,sedentary,0,0,1,0,0,1,1,0,0
514,CRICETIDAE,Peromyscus,Peromyscus eremicus,sedentary,0,0,1,0,0,1,1,0,0
515,CRICETIDAE,Peromyscus,Peromyscus eva,sedentary,0,0,1,0,0,1,1,0,0
516,CRICETIDAE,Peromyscus,Peromyscus fraterculus,sedentary,0,0,1,0,0,1,1,0,0
517,CRICETIDAE,Peromyscus,Peromyscus furvus,sedentary,0,0,1,0,0,1,1,0,0
518,CRICETIDAE,Peromyscus,Peromyscus gossypinus,sedentary,0,0,1,0,0,1,1,0,0
519,CRICETIDAE,Peromyscus,Peromyscus gratus,sedentary,0,0,1,0,0,1,1,0,0
520,CRICETIDAE,Peromyscus,Peromyscus hooperi,sedentary,0,0,1,0,0,1,1,0,0
521,CRICETIDAE,Peromyscus,Peromyscus hylocetes,sedentary,0,0,1,0,0,1,1,0,0
522,CRICETIDAE,Peromyscus,Peromyscus keeni,sedentary,0,0,1,0,0,1,1,0,0
523,CRICETIDAE,Peromyscus,Peromyscus leucopus,sedentary,0,0,1,0,0,1,1,0,0
524,CRICETIDAE,Peromyscus,Peromyscus levipes,sedentary,0,0,1,0,0,1,1,0,0
525,CRICETIDAE,Peromyscus,Peromyscus maniculatus,sedentary,0,0,1,0,0,1,1,0,0
526,CRICETIDAE,Peromyscus,Peromyscus megalops,sedentary,0,0,1,0,0,1,1,0,0
527,CRICETIDAE,Peromyscus,Peromyscus melanocarpus,sedentary,0,0,1,0,0,1,1,0,0
528,CRICETIDAE,Peromyscus,Peromyscus melanophrys,sedentary,0,0,1,0,0,1,1,0,0
529,CRICETIDAE,Peromyscus,Peromyscus melanotis,sedentary,0,0,1,0,0,1,1,0,0
530,CRICETIDAE,Peromyscus,Peromyscus melanurus,sedentary,0,0,1,0,0,1,1,0,0
531,CRICETIDAE,Peromyscus,Peromyscus merriami,sedentary,0,0,1,0,0,1,1,0,0
532,CRICETIDAE,Peromyscus,Peromyscus mexicanus,sedentary,0,0,1,0,0,1,1,0,0
